YM,orig,method_A_weekly,diff_A,method_B_roll20me,diff_B
2025-08,0.72,0.9052473098034338,0.18524730980343385,0.16579626642930242,-0.5542037335706975
2025-09,0.66,0.7667951433158683,0.10679514331586826,0.1627439137748117,-0.49725608622518835
2025-10,0.95,0.8905522301849342,-0.05944776981506572,0.08564043839487596,-0.864359561605124
2025-11,0.62,0.8342679752362127,0.21426797523621266,0.07962987404996676,-0.5403701259500332
2025-12,-0.44,0.1268561806262665,0.5668561806262665,-0.2783145217885914,0.1616854782114086
2026-01,-0.86,0.5335022163871902,1.3935022163871902,0.33295796706508823,1.1929579670650883
2026-02,-1.0,0.17661568935497002,1.17661568935497,-0.15183612545524697,0.8481638745447531
2026-03,0.07,-0.09432166108844835,-0.16432166108844837,-0.3329519198403116,-0.4029519198403116
2026-04,0.77,0.13216248668041805,-0.6378375133195819,0.2784420842821755,-0.49155791571782453
2026-05,0.92,0.9480344035033959,0.02803440350339581,0.3681582396143714,-0.5518417603856287
2026-06,0.67,0.8803778478487393,0.21037784784873925,0.358700478809637,-0.311299521190363
