relationship,corr,abs_corr,n
KOSPI_ret vs EEM_ret (전체),0.28453795247390634,0.28453795247390634,212
foreign_netbuy vs EEM_ret,0.22110463314975357,0.22110463314975357,220
korea_alpha vs DXY_pct_change,0.16079483608287218,0.16079483608287218,212
foreign_netbuy vs DXY_pct_change,-0.14549504356521176,0.14549504356521176,220
KOSPI_ret vs DXY_pct_change (전체),-0.05716126514054413,0.05716126514054413,212
korea_alpha vs fed_net_liquidity,-0.021279935045384883,0.021279935045384883,210
