date,corr_weekly_roll8
2025-08-01,
2025-08-08,
2025-08-15,
2025-08-22,
2025-08-29,0.9052473098034336
2025-09-05,0.9049827340578843
2025-09-12,0.7013822611671863
2025-09-19,0.6784865790523715
2025-09-26,0.7422600697770012
2025-10-03,0.7696970310164085
2025-10-10,0.5118090760990452
2025-10-17,0.5172103274432517
2025-10-24,0.5473445763516677
2025-10-31,0.6055455999900023
2025-11-07,0.7704164083508553
2025-11-14,0.8313900678682236
2025-11-21,0.8858443974827506
2025-11-28,0.731605306539002
2025-12-05,0.7830175071127742
2025-12-12,0.7327795680875074
2025-12-19,0.6048175900066474
2025-12-26,0.5673064748369827
2026-01-02,0.2734806676631586
2026-01-09,0.3553892301265486
2026-01-16,-0.05071819526254595
2026-01-23,0.09500247758167635
2026-01-30,0.04284237373864899
2026-02-06,0.26980211640721946
2026-02-13,0.14785025113792977
2026-02-20,0.2889435212478162
2026-02-27,0.22157901759931445
2026-03-06,0.23278969248605885
2026-03-13,0.264122597589623
2026-03-20,0.15717531078260055
2026-03-27,0.29964177901242495
2026-04-03,0.05543801111565505
2026-04-10,0.40968914629595643
2026-04-17,0.4571696342205861
2026-04-24,0.575402362276322
2026-05-01,0.5591514215136008
2026-05-08,0.5448519683345581
2026-05-15,0.6956589718620905
2026-05-22,0.4274837532934372
2026-05-29,0.6282765878229972
2026-06-05,0.7708560904588998
2026-06-12,0.8785574183992262
2026-06-19,0.8668257473424424
2026-06-26,0.9241895033301939
2026-07-03,0.7048109443401751
2026-07-10,0.5192420812989885
2026-07-17,0.5836887001789433
