date,KOSPI_rebased,EEM_rebased,foreign_netbuy,kospi_ret,eem_ret,korea_alpha,dxy_chg,fed_net_liquidity
2025-08-01,100.0,100.0,-6524.0,,,,,
2025-08-04,100.90850797712125,101.03733992842052,830.0,0.009085079771212534,0.01037339928420522,-0.001288319512992686,0.0009119093693819025,
2025-08-05,102.519389567416,101.32779414006308,2919.0,0.015963783654991737,0.002874721482654996,0.01308906217233674,0.0,
2025-08-06,102.52387415206718,101.80497179822343,2804.0,4.37437705207433e-05,0.004709247469660394,-0.00466550369913965,-0.0060740886974666175,6127834.0
2025-08-07,103.470849377985,102.65558828012615,-171.0,0.009236631309047283,0.008355353052782455,0.000881278256264828,0.002240794663060486,6141839.0
2025-08-08,102.90439859489275,102.57260366802636,-1576.0,-0.0054744963098055655,-0.0008083789055237656,-0.0046661174042818,-0.002235784728572998,6139497.0
2025-08-11,102.80053310989196,102.2821494563838,2169.0,-0.001009339604710946,-0.002831693856408468,0.0018223542516975222,0.003462989782377246,6137586.0
2025-08-12,102.26004282817472,103.5269670536404,-604.0,-0.005257660299674227,0.012170428602377159,-0.017428088902051386,-0.0042630753477077565,6162308.0
2025-08-13,103.36474551390876,104.77177658160367,6349.0,0.010802877205813521,0.012024012326356637,-0.0012211351205431153,-0.0026503785960716453,6082109.0
2025-08-14,103.40609291480236,103.48547474759047,-779.0,0.0004000145377232034,-0.012277178797396093,0.012677193335119297,0.004190552713160711,6110493.0
2025-08-15,,103.60995166574018,,,0.001202844345578935,,-0.004071262349912508,6105554.0
2025-08-18,101.85516231652824,104.21161431134352,-4881.0,,0.005806996682561794,,0.0032703086337693144,6101071.0
2025-08-19,101.030648340238,103.36098976014752,-4544.0,-0.008094965022273137,-0.008162473605433873,6.750858316073582e-05,0.0010186256084978584,6116967.0
2025-08-20,100.34237808053985,103.21576668897288,-2185.0,-0.006812489784092879,-0.0014050085192840456,-0.005407481264808833,-0.0005087557145735389,6063882.0
2025-08-21,100.71584302012748,102.98755093640516,-152.0,0.00372190640417025,-0.0022110551506671072,0.005932961554837357,0.004072505812539262,6073523.0
2025-08-22,101.58107045079,105.04149270951456,1826.0,0.008590777823202833,0.019943592739453564,-0.01135281491625073,-0.009125953161769784,6062606.0
2025-08-25,102.89959312373078,104.43983006391122,1224.0,0.012980003725985068,-0.005727856964744538,0.018707860690729605,0.0072656475194787795,6051314.0
2025-08-26,101.92184409877576,104.1701220052936,-6836.0,-0.009501971730630165,-0.0025824252916972767,-0.006919546438932889,-0.0020318698325928475,6070307.0
2025-08-27,102.1718851292034,103.54771320666534,-2023.0,0.0024532624251314417,-0.00597492627105356,0.008428188696185002,0.0,5978642.0
2025-08-28,102.46553541910086,103.94189818343264,-241.0,0.002874081157709263,0.0038067955781946328,-0.0009327144204853699,-0.004275738409716623,5981420.0
2025-08-29,102.13502231296091,103.44398244154058,-3724.0,-0.003225602684728046,-0.004790327582947618,0.0015647248982195716,-0.0004089655099254186,5935488.0
2025-09-01,100.75398938241322,,-2720.0,-0.013521639289566845,,,,5935488.0
2025-09-02,101.6971217967015,103.36098976014752,4010.0,0.009360745118573988,,,,5992320.0
2025-09-03,102.08404831674284,103.75517473691482,4359.0,0.0038046948940684278,0.0038136726213826577,-8.977727314229966e-06,-0.0026422980914495575,5986635.0
2025-09-04,102.61011435847392,103.42322821922238,2025.0,0.00515326390758708,-0.003199324935205694,0.008352588842792774,0.002139790969825528,5984430.0
2025-09-05,102.74764162110924,104.66804581647892,-1374.0,0.001340289536710726,0.012036151053204103,-0.010695861516493377,-0.005897324250668912,5983561.0
2025-09-08,103.21151046524396,105.62240113279968,2301.0,0.004514642251792544,0.009117924280291456,-0.004603282028498912,-0.0032729846150291175,5985142.0
2025-09-09,104.50854939496064,106.20330955608478,6808.0,0.012566805038217721,0.00549986003967784,0.007066944998539881,0.0034890095221422612,5981643.0
2025-09-10,106.25503292882588,106.92945718913109,13817.0,0.016711393890512127,0.0068373352589623515,0.009874058631549776,-0.00010228178890303585,5904288.0
2025-09-11,107.206171852884,108.48547515105516,3000.0,0.008951471735887173,0.014551817645271248,-0.005600345909384075,-0.0024544678540162623,5906791.0
2025-09-12,108.85199876685662,108.42322862268703,14355.0,0.015351979140073357,-0.0005737775336417394,0.015925756673715097,0.0001025439423474328,5916357.0
