date,corr_weekly_roll8_ffill,corr_daily_roll30,fed_net_liquidity_weekly,KOSPI,NASDAQ,KOSPI_rebased,NASDAQ_rebased
2025-08-01,,,,3119.409912109375,20650.130859375,100.0,100.0
2025-08-04,,,,3147.75,21053.580078125,100.90850797712125,101.95373686248016
2025-08-05,,,,3198.0,20916.55078125,102.519389567416,101.29016093742597
2025-08-06,,,,3198.139892578125,21169.419921875,102.52387415206718,102.51470107398497
2025-08-07,,,,3227.679931640625,21242.69921875,103.470849377985,102.86956224834758
2025-08-08,,,6139497.0,3210.010009765625,21450.01953125,102.90439859489275,103.87352834382575
2025-08-11,,,6139497.0,3206.77001953125,21385.400390625,102.80053310989196,103.56060470636773
2025-08-12,,,6139497.0,3189.909912109375,21681.900390625,102.26004282817472,104.99643095860375
2025-08-13,,,6139497.0,3224.3701171875,21713.140625,103.36474551390876,105.14771442788413
2025-08-14,,,6139497.0,3225.659912109375,21710.669921875,103.40609291480236,105.13574983966032
2025-08-15,,,6105554.0,,21622.98046875,,104.71110626852678
2025-08-18,,,6105554.0,3177.280029296875,21629.76953125,101.85516231652824,104.74398287616783
2025-08-19,,,6105554.0,3151.56005859375,21314.94921875,101.030648340238,103.21943896579802
2025-08-20,,,6105554.0,3130.090087890625,21172.859375,100.34237808053985,102.53135691577316
2025-08-21,,,6105554.0,3141.739990234375,21100.310546875,100.71584302012748,102.18003309792888
2025-08-22,,,6062606.0,3168.72998046875,21496.5390625,101.58107045079,104.09880309664352
2025-08-25,,,6062606.0,3209.860107421875,21449.2890625,102.89959312373078,103.86999098730745
2025-08-26,,0.11301994605615905,6062606.0,3179.360107421875,21544.26953125,101.92184409877576,104.3299419164168
2025-08-27,,0.11286680882160487,6062606.0,3187.159912109375,21590.140625,102.1718851292034,104.5520765559616
2025-08-28,,0.11366778551830256,6062606.0,3196.320068359375,21705.16015625,102.46553541910086,105.10906833501264
2025-08-29,0.9052473098034336,0.16579626642930242,5935488.0,3186.010009765625,21455.55078125,102.13502231296091,103.90031388837104
2025-09-01,0.9052473098034336,0.16579626642930242,5935488.0,3142.929931640625,,100.75398938241322,
2025-09-02,0.9052473098034336,0.16579626642930242,5935488.0,3172.35009765625,21279.630859375,101.6971217967015,103.048406832319
2025-09-03,0.9052473098034336,0.17276566961441855,5935488.0,3184.419921875,21497.73046875,102.08404831674284,104.10457258187397
2025-09-04,0.9052473098034336,0.18489130029752118,5935488.0,3200.830078125,21707.689453125,102.61011435847392,105.1213166684117
2025-09-05,0.9049827340578843,0.18656730989255246,5983561.0,3205.1201171875,21700.390625,102.74764162110924,105.08597147774582
2025-09-08,0.9049827340578843,0.1885409348781701,5983561.0,3219.590087890625,21798.69921875,103.21151046524396,105.56203913281044
2025-09-09,0.9049827340578843,0.1845861497535199,5983561.0,3260.050048828125,21879.490234375,104.50854939496064,105.95327643864243
2025-09-10,0.9049827340578843,0.14591040773443223,5983561.0,3314.530029296875,21886.060546875,106.25503292882588,105.98509373096248
2025-09-11,0.9049827340578843,0.15838327341267136,5983561.0,3344.199951171875,22043.0703125,107.206171852884,106.74542676078303
2025-09-12,0.7013822611671863,0.16031595963452708,5916357.0,3395.5400390625,22141.099609375,108.85199876685662,107.22014189717888
2025-09-15,0.7013822611671863,0.11398745378257427,5916357.0,3407.31005859375,22348.75,109.22931434457404,108.22570642381106
2025-09-16,0.7013822611671863,0.18015551633330032,5916357.0,3449.6201171875,22333.9609375,110.58566249328976,108.15408914157342
2025-09-17,0.7013822611671863,0.2516023996950916,5916357.0,3413.39990234375,22261.330078125,109.42453856715406,107.80236808048376
2025-09-18,0.7013822611671863,0.2858755358773796,5916357.0,3461.300048828125,22470.720703125,110.96009009240984,108.81635983882138
2025-09-19,0.6784865790523715,0.3083618306839578,5840858.0,3445.239990234375,22631.48046875,110.44524725205709,109.59485255985912
2025-09-22,0.6784865790523715,0.3020747187867923,5840858.0,3468.64990234375,22788.98046875,111.1957068828513,110.35755959097943
2025-09-23,0.6784865790523715,0.37266482428431,5840858.0,3486.18994140625,22573.470703125,111.7579939678032,109.31393537817132
2025-09-24,0.6784865790523715,0.3979741575086403,5840858.0,3472.139892578125,22497.859375,111.30758670412222,108.947781145833
2025-09-25,0.6784865790523715,0.4051761673380835,5840858.0,3471.110107421875,22384.69921875,111.27457452600952,108.39979354701047
