regime,rrp_mean,rrp_median,rrp_depleted_share,corr_rrp_vs_spread,abs_corr_rrp_vs_spread,n_level,corr_rrp_vs_spread_vol20,abs_corr_rrp_vs_vol20,n_vol,n_excluded,note
"구간1 (2025-08~10, RRP 여유)",30.728909090909088,21.421,0.22727272727272727,-0.4072678650314953,0.4072678650314953,66,-0.4142041480324887,0.4142041480324887,57,0,baseline
"구간2 (2025-11~, RRP 고갈)",4.427324468085106,1.5385,0.8936170212765957,0.41599297767308463,0.41599297767308463,188,0.15766424528874498,0.15766424528874498,188,0,baseline_incl_month_quarter_end
구간2 (월말·분기말 제외),3.583310559006211,1.485,0.9192546583850931,0.3451747197818491,0.3451747197818491,161,0.2281113625981906,0.2281113625981906,161,27,exclude is_month_end|is_quarter_end (last 3 BD)
구간2 (분기말만 제외),3.6245251396648044,1.489,0.9162011173184358,0.32714911541895003,0.32714911541895003,179,0.20692458350020054,0.20692458350020054,179,9,exclude is_quarter_end only
